Date,Location,Operator,Type,Aboard,Fatalities,Ground,Operator_Category,Month,Year
1912-07-12,"AtlantiCity, New Jersey",Military - U.S. Navy,Dirigible,5.0,5.0,0.0,military,7,1912
1913-08-06,"Victoria, British Columbia, Canada",Private,Curtiss seaplane,1.0,1.0,0.0,other,8,1913
1913-09-09,Over the North Sea,Military - German Navy,Zeppelin L-1 (airship),20.0,14.0,0.0,military,9,1913
1915-03-05,"Tienen, Belgium",Military - German Navy,Zeppelin L-8 (airship),41.0,21.0,0.0,military,3,1915
1915-09-03,"Off Cuxhaven, Germany",Military - German Navy,Zeppelin L-10 (airship),19.0,19.0,0.0,military,9,1915
1916-07-28,"Near Jambol, Bulgeria",Military - German Army,Schutte-Lanz S-L-10 (airship),20.0,20.0,0.0,military,7,1916
1916-09-24,"Billericay, England",Military - German Navy,Zeppelin L-32 (airship),22.0,22.0,0.0,military,9,1916
1916-11-21,"Mainz, Germany",Military - German Army,Super Zeppelin (airship),28.0,27.0,0.0,military,11,1916
1916-11-28,"Off West Hartlepool, England",Military - German Navy,Zeppelin L-34 (airship),20.0,20.0,0.0,military,11,1916
1917-03-04,"Near Gent, Belgium",Military - German Army,Airship,20.0,20.0,0.0,military,3,1917
1917-03-30,Off Northern Germany,Military - German Navy,Schutte-Lanz S-L-9 (airship),23.0,23.0,0.0,military,3,1917
1917-05-14,"Near Texel Island, North Sea",Military - German Navy,Zeppelin L-22 (airship),21.0,21.0,0.0,military,5,1917
1917-06-14,"Off Vlieland Island, North Sea",Military - German Navy,Zeppelin L-43 (airship),24.0,24.0,0.0,military,6,1917
1917-08-21,Off western Denmark,Military - German Navy,Zeppelin L-23 (airship),18.0,18.0,0.0,military,8,1917
1917-10-20,"Near Luneville, France",Military - German Navy,Zeppelin L-44 (airship),18.0,18.0,0.0,military,10,1917
1918-04-07,Over the Mediterranean,Military - German Navy,Zeppelin L-59 (airship),23.0,23.0,0.0,military,4,1918
1918-08-11,"Ameland Island, North Sea",Military - German Navy,Zeppelin L-53 (airship),19.0,19.0,0.0,military,8,1918
1918-12-16,"Elizabeth, New Jersey",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,12,1918
1919-05-25,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,5,1919
